title,current price,full day fee,fluctuation rate,face value,market cap,number of listed shares,foreigner ratio,trading volume,PER,ROE
롯데리츠,"3,665",35,+0.96%,500,"242,969","8,905",9.82,"241,124",63.19,1.25
삼양식품,"118,200",400,+0.34%,"5,000","7,533","8,904",9.36,"27,250",11.16,18.92
세아베스틸지주,"24,800","1,450",-5.52%,"5,000","35,862","8,894",11.67,"371,757",9.78,4.91
KODEX 인버스,"4,575",20,+0.44%,0,"193,900","8,871",2.43,"20,186,863",N/A,N/A
KODEX 코스닥150선물인버스,"3,900",25,+0.65%,0,"226,500","8,834",1.80,"44,679,475",N/A,N/A
진에어,"16,810",570,+3.51%,"1,000","52,200","8,775",2.37,"445,434",-17.75,-35.07
제이알글로벌리츠,"4,440",15,-0.34%,"1,000","197,376","8,763",9.84,"298,317",46.74,2.04
이엔플러스,"14,370","1,420",-8.99%,500,"60,591","8,707",2.87,"11,022,257",-22.45,-53.00
영원무역홀딩스,"63,400",100,-0.16%,500,"13,636","8,645",18.38,"16,729",1.96,23.98
더블유게임즈,"46,850",50,-0.11%,500,"18,375","8,608",12.10,"34,960",-6.51,-16.82
LG전자우,"49,100",200,+0.41%,"5,000","17,186","8,438",40.00,"31,863",7.42,N/A
넥센타이어,"8,570",240,-2.72%,500,"97,668","8,370",4.91,"123,249",-32.10,-1.74
ESR켄달스퀘어리츠,"3,890",50,-1.27%,"1,000","213,089","8,289",50.55,"141,942",64.83,1.39
미원상사,"169,900",300,+0.18%,500,"4,850","8,240",2.63,840,11.68,22.64
해성디에스,"47,950","1,500",-3.03%,"5,000","17,000","8,152",15.28,"162,344",5.11,42.99
태광산업,"721,000",0,0.00%,"5,000","1,113","8,028",4.93,613,2.35,8.52
이노션,"39,900",550,-1.36%,500,"20,000","7,980",31.41,"18,367",11.30,8.46
제주은행,"24,800",100,+0.40%,"5,000","32,129","7,968",1.87,"2,515,620",34.93,4.40
KODEX 단기채권,"105,755",0,0.00%,0,"7,517","7,950",0.29,"221,030",N/A,N/A
HDC현대산업개발,"11,990",40,-0.33%,"5,000","65,907","7,902",7.64,"196,237",15.69,1.75
애경케미칼,"15,990",430,+2.76%,500,"48,649","7,779",1.03,"12,522,975",12.94,8.47
녹십자홀딩스,"16,540",290,-1.72%,500,"47,028","7,778",6.24,"63,858",24.95,3.18
